,filename,contents,target
10,0112.ec411d26d1f4decc16af7ef73e69a227," An Additional Income Stream
 from your current book of business!
  	
 	  	 	 	
 	 Agent Commission:
$92,000 
 Client:
 87-year-old male
 82-Year-old female

 Result:
 $2,300,000 second to die
 policy, minimal cash value.  Policy was no longer
 required. Insured utilized a
 life settlement and received
 $300,000. Agent Commission:
$30,000 
 Client:
 70-year-old male with health complications

 Result:
 $1,000,000 policy with small
 cash value. Insured utilized
 a life settlement and
 received $300,000. Agent Commission:
$90,000 

 Client:
 89-year-old female

 Result:
 $2,000,000 policy with an
 annual premium of $110,000.
 Policy expires at age 95.
 Insured utilized a life
 settlement and received
 $325,000. 
 	  	 	 	
 

Multiple opportunities to earn commissions
from one strategy! 

	If any of your elderly client’s health, personal, or financial
needs or circumstances have changed since the original life policy was
issued you have the opportunity to create an additional income stream
with Life Settlements:

 ? Earn a referral fee from a life settlement transaction.
? Trailer commission on the policy for the agent of record.
? Earn investment or annuity commissions from the capital created by 
   the life settlement transaction.
? Earn a commission on new life insurance products that better suit 
   your client’s current needs.
? Earn a commission on the conversion if the policy being considered
   is a term product.
?Earn additional commissions for referring other agents or agencies
   to The Life Settlement Alliance. 
 
Call today for more information!
 800-871-9440— or — 

Please fill out the form below for more information	 
Name:	 	  	
E-mail:	 	 
Phone:	 	 
City:	 	 State:	 	 
 	    	
 
The Life Settlement Alliance <http://www.lsalliance.com> 	 
We don't want anyone to receive our mailings who does not wish to. This
is professional communication sent to insurance professionals. To be
removed from this mailing list, DO NOT REPLY to this message. Instead,
go here: http://www.Insuranceiq.com/optout
<http://www.Insuranceiq.com/optout/> 

Legal Notice <http://www.insuranceiq.com/legal.htm>  
One Sale - Three Commission Streams
Agent Commission:
$92,000
Client:
87-year-old male
82-Year-old female
Result:
$2,300,000 second to die
policy, minimal cash value.  Policy was no longer
required. Insured utilized a
life settlement and received
$300,000.
Agent Commission:
$30,000
Client:
70-year-old male with health complications
Result:
$1,000,000 policy with small
cash value. Insured utilized
a life settlement and
received $300,000.
Agent Commission:
$90,000
Client:
89-year-old female
Result:
$2,000,000 policy with an
annual premium of $110,000.
Policy expires at age 95.
Insured utilized a life
settlement and received
$325,000.
Multiple opportunities to earn commissions
from one strategy!
If any of your elderly client's health, 
              personal, or financial needs or circumstances have changed since 
              the original life policy was issued you have the opportunity to 
              create an additional income stream with Life Settlements:
• Earn a referral fee from a life settlement transaction.
• Trailer commission on the policy for the agent of record.
• Earn investment or annuity commissions from the capital created by
the life settlement transaction.
• Earn a commission on new life insurance products that better suit
your client's current needs.
• Earn a commission on the conversion if the policy being considered
is a term product.
•Earn additional commissions for referring other agents or agencies
to The Life Settlement Alliance.
Call today for more information!
— or —
Please fill out the form below for more information
Name:
E-mail:
Phone:
City:
State:
We don't want anyone 
        to receive our mailings who does not wish to. This is professional communication 
        sent to insurance professionals. To be removed from this mailing list,
DO NOT REPLY
to this message. Instead, go here:
http://www.Insuranceiq.com/optout
Legal Notice",1
11,00033.9babb58d9298daa2963d4f514193d7d6,"This is the bottom line.  If you can GIVE AWAY CD's for FREE to people (like 80-100 in one month) and then let ME talk to them FOR you - if you can GIVE AWAY free product samples -  then YOU can earn $5,000 in the next 30 - 45 days.

Think I'm kidding?  We earned PRECISELY $26,087.58 in our first 94 days doing JUST that - and we scanned our checks online for you to see them with your own eyes!  We've TWEAKED things a little because WE DON'T WANT you to talk to ANYONE.  WE WANT to talk to people FOR YOU.

if you are ....
VERY BUSY or,
Aren't GOOD AT TALKING TO PEOPLE or,
DON'T WANT to talk to people....

Then let US work FULL TIME for you.  We've helped others....
   Julie P. earned $750 in one week with us
   Jeff A. earned $6500 in 5 weeks with us

And we NOW have an EXACT business plan for you and can tell you EXACTLY what to expect with where you're starting.  No guesswork - we've done it.

And if you DO want to seriously evaluate this, we would be HAPPY to even fly you to Los Angeles at OUR expense to get a closer look!  NO KIDDING! 

To get your FREE CD, please send the following information:

Name
Postal Mailing Address
Phone Number with Area Code

mailto:cashflows99@excite.com?subject=FREE_CD

To be removed from future mailings, please
mailto:cashflows99@excite.com?subject=REMOVE

********************************
This email ad is being sent in full compliance with U.S. Senate Bill 1618, Title #3, Section 301, which states ""A statement that further transmissions of unsolicited commercial electronic mail to the recipient by the person who initiates transmission of the message may be stopped at no cost to the recipient by sending a reply to the originating electronic mail address with the word 'remove' in the subject line.""




",1
12,00187.efd97ab2034b3384606e21db00014ecb,"Here's the hottest thing in DVDs. Now you can make a personal backup
copy of a DVD right onto CD-R.  Our ""Hot"" new software easily takes you through
the steps to make a copy of your own DVDs.

NOW INCLUDED FOR FREE! Copy PLAYSTATION, MUSIC/MP3s and all Software.

- Step by Step Interactive Instructions 
- All Software Tools Included On CD 
- No DVD Burner Required 
- FREE Live Technical Support 
- 30 Day Risk Free Trial Available 
- FREE Dvd Movie of your choice (LIMITED TIME OFFER!)

We have All the software you need to COPY your own DVD Movies.

http://sam.mothost.com/pos/dvd.htm
++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
This email has been screened and filtered by our in house """"OPT-OUT"""" system in 
compliance with state laws. If you wish to ""OPT-OUT"" from this mailing as well 
as the lists of thousands  of other email providers please visit  

http://sam.mothost.com/pos/optoutd.html
++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
8429ZKZm5-584blan2826zxaD1-138BmnT6098TIco7-220rikg3620l52",1
13,0146.6656452972931e859e640f6ac57d2962,,1
14,0060.140f80780520fa19b360ddcb05838a67,"Protect your financial well-being.
Purchase an Extended Auto Warranty for your Car today. CLICK HERE for a FREE no obligation quote.
http://www.newnamedns.com/warranty/
  
Car troubles always seem to happen at the worst possible time. Protect yourself and your family with a quality Extended Warranty for your car, truck, or SUV, so that a large expense cannot hit you all at once. We cover most vehicles with less than 150,000 miles.
 
Buy DIRECT! Our prices are 40-60% LESS!
 
We offer fair prices and prompt, toll-free claims service.  Get an Extended Warranty on your car today.
 
Warranty plan also includes:
 
  1)   24-Hour Roadside Assistance.
  2)   Rental Benefit.
  3)   Trip Interruption Intervention.
  4)   Extended Towing Benefit.
 
CLICK HERE for a FREE no obligation quote.
http://www.newnamedns.com/warranty/
        
       
       
       
      
---------------------------------------
To easily remove your address from the list, go to: 
http://www.newnamedns.com/stopthemailplease/
Please allow 48-72 hours for removal.

",1
15,0392.9e194dfff92f7d9957171b04a8d4b957,"================This Is Definitely the Answer We All Have Been Waiting For===============

Every once in awhile, something comes along that you just know, from the people involved, from the features, or just from gut-feeling, that it's going to be very special, something with huge potential and hope. When you know it, it rests deep in your bones, and it's hard not to get overly excited and scream it to the world, which is why I'm writing you today. Although this program is launching with all the potential of being as big as anything on the Internet, and you will soon see it advertised and promoted everywhere you go, I would like to give you an opportunity to get in early before the masses. Traditionally, there have been a couple of flaws to any MLM (multi-level marketing for you newcomers) that have made it difficult for programs to last after the initial hoopla. Today, we have launched the solution to those problems, the newest and most innovative system ever to hit Multi-level Marketing. With a new software system and an ingenious payplan, combined with a 100% payout, everyone comes out a winner. 


The truth is, you've got to see it to believe it, so rather than feed you a lot of hype and tell you this is the miracle you've been looking for, the magic link that will end all your problems, or a lot of other things you don't need to hear, I'm just going to make you a very simple offer. Email me with 'Send Link' in the subject line to:  itshappening@mail2world.com  and I will provide the link so you can take a test drive, absolutely risk-free. You can get a birds-eye inside look, revealing the inner-workings of this revolutionary new discovery in online income opportunities. Should you decide you like what you see, you will have the option of activating your position, but that is completely at your option. This isn't a trick, I'm just so convinced that this is such a sound program and unique but solid opportunity that I don't want you to miss out on the chance to get an early position. With an explosive launch, positions will be filling up rapidly, and you have before you a chance to explore the program before diving in head first. If you're one of those cautious people (and who isn't these days on the Internet), that likes to ""look before you leap"" then here is your chance. Thank you for your time, and I hope you discover why we're all smiling!!


Please do not treat this message as spam. I am a professional and very successful networker with a data base of 100,000. I was pursueded to purchase this list containing 200,000 names of individuals, which is guaranteed to include only those people who have given their consent to receive information. I have not used this means of marketing before and frankly I am dubious about its validity. However, having spent an arm and a leg purchasing it I'm initially sending this message to just a small number of the email address's (2,000) to guage results. If you want more information I will happily supply the link without any obligation. But if its of no interest or you take exception to receiving this mail then please accept my apologies for the intrusion and delete the message immediately. As this is a one time mailing there is no need to respond with 'remove'. Thank you. 


",1
16,00500.85b72f09f6778a085dc8b6821965a76f,"(Hello,This is Chinese Traditional)
電子郵件 ——21世紀最有效的宣傳方式：
您想讓當地10萬人同一時刻知道您的廣告嗎？您想方便快捷的宣傳您的企業嗎？
您想在商業競爭中步步搶佔先機嗎？
您想一次擁有幾億個潛在商業客戶嗎？
越來越多的調查表明 ，網路直銷將會成爲未來營銷方式的主流，而E-mail將是網上營銷最常用也是最實用的工具。
其特點：範圍廣，時效高，價格低。據eMarketer估計，美國有61%的中等規模公司經常運用電子郵件進行營銷活動。
部分廣告媒體平均回應率比較 （Average Response
Rate Ranges）
0.5-1% 普通横幅广告(banner ads)
1-2% 普通信件(direct mail)
10-15% 電子郵件(Email)
一 [郵件出售]
購買全球郵件地址： 每1000萬/500HK （購買全部9000萬/3600HK）
購買香港郵件地址： 每10萬/400HK   （購買香港全部325萬/5500HK）
free download
購買臺灣郵件地址： 每10萬/400HK   （購買臺灣全部201萬/4500HK）
free download
[郵件發送]
廣告郵件代理發送： 每10萬/500HK 20萬起發
（準確率90%以上）
包周群發：         一周60萬/2500HK
一周100萬/4000HK
（保證網站日訪問量提升2000以上）
包月群發：         一月500萬/9500HK
（保證網站日訪問量提升5000以上）
[郵件軟體]
70
餘套群發，搜索，網路發佈軟體
/2200
HK
讓你自己擁有一套完善的電子郵件群發，搜索，網路發佈系統
有意者请来信联系：
yhzx599@vip.sina.com
二 搜索引擎註冊登陸 （超值服務，特惠價2200
HK）
銀河之星幫您登陸全球6000個英文搜索引擎，進200個中文搜索引擎。讓你的網站享譽全球。
e-mail地址在各地區的分佈數量
香港————————————————————————————————32525642個
free download the sample
臺灣————————————————————————————————20012356個
free download the sample
全球————————————————————————————————9000萬
銀河之星擁有國內外上億個有效的email位址資料庫，可以根據客戶的需要，在指定的地方，區域,行業類別等屬性投放電子郵件廣告。
如：你想讓某地10萬人一天之類都知道你的產品，資訊。那麽廣告郵件投放就是你最好的解決方案，它的價格是所有傳煤價格中最低，
但又是最有效的。機遇每時每刻都等待著你，也許你正是用了這樣的傳煤手段，而打垮了所有的競爭對手。趕快行動吧，讓你的企業，
公司立即掌握商業傳媒的命脈------廣告e-mail。這是普通傳銷經營所不能比擬的。
聯繫及付款方式：
本公司從事網路廣告多年，宣傳力度位居中國第四大網路廣告商之一，
我們有專門的技術人員和高速專業的服務系統從事此項工作，必將爲您的企業提供最迅捷、最有效、最滿意的服務。
需求客戶請點擊這裏（聯繫郵箱)
yhzx599@vip.sina.com
（來信請注明您需要的服務與聯繫方式，我們會儘快回復您。）
港、澳、臺地區付款方式（任何國家均可到當地銀行電匯，2-3天到帳）
需到當地銀行辦理電匯
English:
BENIFICIARY CUSTOMER:  wangjingjing
A/C BANK:          
   BANK OF CHINA MIANYANG BRANCH
A/C NO:          
     8209 9802 0003 158
BENIFICIARY'S TEL NO : 0816-6623109
中文對照：
收 款 人： 王晶晶
收款銀行： 中國銀行綿陽分行
帳    號： 8209 9802 0003 158
收款人電話：0816-6623109
2-3天到帳，款到後我們將立即爲您提供最滿意服務。
歡迎來信來電諮詢聯繫 電話：0086-0816-6623109
銀河之星網路資訊有限公司
公司地址：中國大陸綿陽
EMAIL：
yhzx599@vip.sina.com
諮詢電話：0086-0816-6623109
-----------------------------------------------------------------------------------------------------------------------------------
公司服務專案：網路推廣 網站建設 網路實名
網頁寄存 功能變數名稱空間 軟體發展等，價錢低廉，服務優質歡迎來信來電聯繫
-----------------------------------------------------------------------------------------------------------------------------------",1
17,00493.1c5f59825f7a246187c137614fb1ea82,"Secured Investements
WEALTH WITHOUT RISK!!!
Discover The Best Kept Secret In America!
Turning $300 Into $20,000
In Oklahoma, Craig
Talkington purchased a Tax Lien on a 5 acre parcel for
$300. The owner failed to pay the taxes and forfeited
the 5-acre parcel to Craig Talkington. A short time
later Craig sold that property to one of the neighbors
for $20,000. That's the kind of money that buys new
cars and sends young people to college. Craig didn't
stop at one deal. He later bought a tax lien for only
$17 on a ten acre track, the property owner failed to
pay the taxes, and Craig ended up the property, which
he sold for $4,000. I don't know how much money you
are making right now but these are the kinds of
profits that change peoples lives and solve financial
problems and make things a lot better.
Janice Knetzger Turned A $463.00 Investment Into $65,000.00!
Wayne Robertson Paid $1.00 For A Home!
Todd Beemer Turned A $21,500 Investment Into $150,000.00!
For Serious Investors and Entrepreneurs Only
For a
FREE
Consultantion
to see if you qualify
Fill out
the
no obligation
form below for more
information.
Required Input Field
*
NAME
*
ADDRESS
*
CITY
*
STATE
*
PHONE
*
EMAIL ADDRESS
*
*All
tax liens and deeds directly support local
      fire departments, police departments, schools,
roads, and hospitals.  Thank you for your interest and
support.
To be removed, please
click here
.
4589dfSl1-151rzeh9359iYoc9-006Fl29",1
18,00012.381e4f512915109ba1e0853a7a8407b2,"Click Here Now !
Simply Amateur
Just like the girl next door.
XXX Free Tour !
First time photos !
Sneeky hidden cams !
Nude exibitionists !
Cheating Wives and Girlfriends !
Click here to be removed",1
19,00487.139a2f4e8edbbdd64441536308169d74,"Answer-Us
Unlist Information
This message is brought to you by Answer-us.com in 
		compliance with current federal laws. To find out more about Answer-us.com visit
http://www.answer-us.com
. 
        You are receiving this mailing because you or someone you know has 
        registered this email address to receive special offers from an Answer-us.com 
        marketing partner. Screening of addresses has been done to the best of 
        our knowledge. We honor all unlist requests within 72 hours. If you
        have received this email in error, we apologize for any inconvenience it 
        has caused and will not mail further offers to you. To be
        unlisted from our database, please do the 
        following: Simply
click here
. If you have your mail forwarded to a new email address 
        please provide your old email address.
A
nswer
-
Us
Nationwide
support@answer-us.com
Our 
        E-Mail Campaigns Have Produced
      Staggering Response Rates!
Responsive 
      General or Targeted Managed
E-Mail Lists
Visit
www.answer-us.com
today!
Copyright 
        © 2002 Answer-us.com. All rights reserved.",1
